OperatingSystem,Manufacturer,Username,Model,SerialNumber,ProcessorModel,ServicePackVer,MemoryCapacity,MaxClockSpeed,NumberOfCores,ComputerName,IsLaptop,NumberOfLogicalProcessors
Microsoft Windows 10 Pro,HP,sophie.gregory,HP 280 G2 SFF,4CE70919WK,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,0,8589934592,3696,2,DESKTOP-P6LRUIN,False,4
Microsoft Windows 10 Pro,Hewlett-Packard,andrew.payne,HP EliteBook 2570p,CNU243CCCV,Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,0,4294967296,2601,2,HPLAPTOP,True,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Hannah.Spendlove,HP Compaq Pro 4300 SFF PC,CZC3126R6Y,Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz,1,4294967296,2901,4,IT-NAV001,False,4
Microsoft Windows 10 Pro,Dell Inc.,Elizabeth.Lyons,OptiPlex 9020,72WPJ32,Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz,0,8589934592,3001,4,QUICKVIEW-01,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,anthony.carroll,HP Pro 3015 Microtower PC,CZC0025RWZ,AMD Athlon(tm) II X2 215 Processor,1,4294967296,2700,2,SEL-0001,False,2
Microsoft Windows 10 Pro,Hewlett-Packard,Andrew.Payne,HP EliteBook 8440p,CZC0521Y9X,Intel(R) Core(TM) i7 CPU       M 640  @ 2.80GHz,0,8589934592,2800,2,SEL-0421,True,4
Microsoft Windows 7 Professional ,Dell Inc.,lee.howorth,OptiPlex 780                 ,5XXDQ4J,Intel(R) Core(TM)2 Duo CPU     E7600  @ 3.06GHz,1,4294967296,3059,2,SEL-0482,False,2
Microsoft Windows 10 Pro,Hewlett-Packard,paul.maloney,HP ProBook 650 G1,CNU416C3LK,Intel(R) Core(TM) i5-4200M CPU @ 2.50GHz,0,4294967296,2501,2,SEL-0492,True,4
Microsoft Windows 10 Pro,Hewlett-Packard,sue.stevenson,HP Compaq Elite 8300 SFF,CZC3136W61,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,0,6442450944,3201,4,SEL-0610,False,4
Microsoft Windows 10 Pro,HP,Craig.Jarvis,HP ProBook 650 G3,5CG7324KJC,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,0,8589934592,2712,2,SEL-0612,True,4
Microsoft Windows 7 Professional ,HP,Gemma.Thomas,HP Z2 Mini G3 Workstation,CZC73878V8,Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,1,34359738368,3501,4,SEL-0618,False,8
Microsoft Windows 10 Pro,HP,qlikview.roof1,HP 260 G2 DM,4CH7257HXM,Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,0,4294967296,2301,2,SEL-0619,False,4
Microsoft Windows 10 Pro,FUJITSU,vanessa.critchley,ESPRIMO E500,YLCS002283,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz,0,4294967296,3100,2,SEL-0622,False,4
Microsoft Windows 10 Pro,HP,rayres,HP 285 G2 MT,CZC73680CS,AMD A8 PRO-7600B R7,0,8589934592,3100,2,SEL-0653,False,4
Microsoft Windows 7 Professional ,HP,DBOALER,HP 280 G2 MT (Non-Legacy) ,CZC6369CSN,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,17179869184,3401,4,SEL-0667,False,8
Microsoft Windows 10 Pro,HP,Mark.Johnston,HP ProBook 640 G3,5CG7313BFV,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,0,4294967296,2712,2,SEL-0691,True,4
Microsoft Windows 7 Professional ,HP,KARMSTRONG,HP EliteDesk 800 G2 SFF,AUD6120GG0,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,1,8589934592,3201,4,SEL-0785,False,4
Microsoft Windows 7 Professional ,Dell Inc.,Tom.young,OptiPlex 780                 ,6WL815J,Intel(R) Core(TM)2 Duo CPU     E7600  @ 3.06GHz,1,4294967296,3059,2,SEL-0863,False,2
Microsoft Windows 7 Professional ,Dell Inc.,Darren.Lahera,OptiPlex 780                 ,BWL815J,Intel(R) Core(TM)2 Duo CPU     E7600  @ 3.06GHz,1,4294967296,3059,2,SEL-0864,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Nichola.Ceho,HP Pro 3500 Series,CZC25187F4,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,1,8589934592,3201,4,SEL-128,False,4
Microsoft Windows 10 Pro,HP,Jonathan.Crohill,HP ZBook 15u G4,5CG8172YGX,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,0,17179869184,2904,2,SEL-2948,True,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Blake.Vincent,HP ProDesk 400 G1 MT,CZC41650MK,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,1,4294967296,3000,2,SEL-3843,False,2
Microsoft Windows 7 Professional ,Dell Inc.,Amy.Jackson,OptiPlex 780                 ,6N05N4J,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1,10737418240,2926,2,SEL-3903,False,2
Microsoft Windows 10 Pro,Hewlett-Packard,vijay.mistry,HP ProBook 650 G1,5CG5304G8M,Intel(R) Core(TM) i5-4210M CPU @ 2.60GHz,0,4294967296,2601,2,SEL-4689,True,4
Microsoft Windows 7 Professional ,HP,gatehouse,HP EliteDesk 800 G2 SFF,AUD6120CSS,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,1,8589934592,3201,4,SEL-4945,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,karen.potts,HP ProBook 650 G1,5CG6196VGH,Intel(R) Core(TM) i5-4210M CPU @ 2.60GHz,1,4294967296,2601,2,SEL-5378,True,4
Microsoft Windows 10 Pro,Hewlett-Packard,Jonathan.Bryan,HP EliteBook 840 G1,5CG5191M2Q,Intel(R) Core(TM) i5-4300U CPU @ 1.90GHz,0,8589934592,2501,2,SEL-6789,True,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Bethany.Ashworth,HP Compaq 8200 Elite SFF PC,CZC202CL7K,Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz,1,6442450944,3301,4,SEL-8947,False,4
Microsoft Windows 7 Professional ,Dell Inc.,k2loading,OptiPlex 780                 ,8XXDQ4J,Intel(R) Core(TM)2 Duo CPU     E7600  @ 3.06GHz,1,4294967296,3059,2,SEL-9374,False,2
Microsoft Windows 10 Pro,Hewlett-Packard,MARKS,HP ProBook 650 G1,5CG5384RHG,Intel(R) Core(TM) i5-4210M CPU @ 2.60GHz,0,4294967296,2601,2,SEL-9473,True,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Daniel.Gent,HP 280 G1 MT,CZC551116G,Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz,1,4294967296,3001,4,SEL-D-0441,False,4
Microsoft Windows 7 Professional ,FUJITSU,Ann.Goodman,ESPRIMO E420,YLST041262,Intel(R) Core(TM) i5-4430 CPU @ 3.00GHz,1,4294967296,3001,4,SEL-D-0599,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Lee.Lapko,HP Compaq Elite 8300 SFF,CZC3444X5R,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,1,12884901888,3201,4,SEL-D0023,False,4
Microsoft Windows 10 Pro,Hewlett-Packard,Sara.Mellor,HP 280 G1 MT,CZC5512QVQ,Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz,0,12884901888,3001,4,SEL-D0034,False,4
Microsoft Windows 10 Pro,Hewlett-Packard,ryan.owens,HP Pro 3300 Series MT,CZC1396PLC,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,0,8589934592,2501,4,SEL-D0038,False,4
Microsoft Windows 10 Pro,Hewlett-Packard,qlikview.roof,HP 260 G1 DM,4CH5092N2B,Intel(R) Pentium(R) 3558U @ 1.70GHz,0,4294967296,1701,2,SEL-D0043,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,gavin.reid,HP ProDesk 400 G1 MT,CZC4011VYJ,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,1,4294967296,3000,2,SEL-D0255,False,2
